DISTRICT/MONTH,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
SAHARSA,3.35,5.9861,7.0295,21.7475,58.8171,136.9652,282.8821,193.7503,159.7012,51.9523,2.032,5.4918,929.7051
SAHIBGANJ,7.1942,3.35,6.9197,12.0819,46.79,141.8529,219.5068,168.9275,183.261,54.8081,5.4369,3.1303,853.2593
SAHUJI MAHARA,9.5008,6.5901,4.7229,1.9221,4.4483,48.3278,151.189,173.266,113.735,20.1549,4.2836,3.5147,541.6552
SAIHA,3.6795,17.0245,38.2778,64.0892,184.1946,211.3241,240.4855,226.3716,212.9167,117.6341,37.2893,9.0065,1362.2934
SALEM,4.668,4.1188,8.7869,29.6557,55.3572,35.7516,52.9409,65.6818,87.594,104.8383,67.9884,30.6442,548.0258
SAMASTIPUR,8.2377,4.5033,5.9861,8.3475,23.4499,96.985,173.0463,158.7676,134.2193,35.3671,3.7893,2.0869,654.786
SAMBA,30.9188,36.5753,37.8384,20.4295,21.9122,35.0925,201.329,177.7143,58.4326,17.2991,8.6221,19.0565,665.2203
SAMBALPUR,6.6451,10.9287,11.0385,8.5672,17.7934,124.444,229.7216,255.1486,138.1734,31.9622,4.9426,2.8008,842.1661
SANGLI,0.9336,0.4393,2.3615,12.4114,29.6557,65.3523,82.7064,58.872,72.1072,59.4761,13.8393,3.0754,401.2302
SANGRUR,10.05,10.5992,8.7319,5.7115,10.2696,24.6032,88.1432,80.0703,47.0646,11.2033,2.5811,7.0844,306.1123
SANT KABIR NGR,6.4803,7.1942,5.7664,2.8008,11.4229,76.7752,195.8921,165.0283,106.376,27.9532,0.659,3.5697,609.9181
SANT RAVIDAS,10.1598,6.6451,6.3705,2.9106,5.6565,43.3851,166.0168,155.857,99.4014,17.4639,5.6016,2.032,521.5003
SARAN,8.9516,5.1623,4.668,5.1074,19.5508,73.1506,183.4807,160.2504,117.744,32.5114,3.5697,3.0205,617.1674
SAS NAGAR(MGA),18.3426,13.5647,16.2008,7.5787,13.5098,37.7835,132.7915,118.9522,64.4187,11.0934,4.009,11.368,449.6129
SATARA,0.3844,0.3844,1.7025,7.6885,19.9901,82.7613,139.7111,96.2162,78.8072,52.5015,16.4205,4.5582,501.1259
SATNA,12.686,8.6221,5.2172,2.0869,2.5262,66.2859,167.884,182.8766,106.4309,17.6286,4.7229,3.0205,579.9878
SAWAI MADHOPUR,4.009,3.5147,1.5926,1.5926,5.382,29.6007,139.162,145.2578,50.6343,10.6541,2.5811,1.977,395.9579
SEHORE,4.9426,3.7344,2.3066,0.659,3.8443,68.7023,191.993,215.0036,110.5497,18.3975,7.7983,5.0524,632.9837
SENAPATI,7.3041,16.4205,26.086,68.4826,108.9571,202.2077,201.0544,179.3619,120.8743,85.6719,31.3032,8.1278,1055.8515
SEONI,10.1049,10.2696,12.4664,5.2721,5.382,89.8457,196.5512,177.9889,105.8817,24.3835,8.7319,7.6336,654.5115
SERAIKELA-KHA,9.8852,11.5877,11.9721,13.345,28.2278,132.1874,177.1102,176.7807,137.5144,39.4311,5.6565,2.9656,746.6637
SERCHHIP,8.4574,18.5622,56.8949,82.8711,161.6234,217.42,262.0133,236.5314,190.4004,91.8776,39.3212,10.1598,1376.1327
SHAHDOL,12.9057,10.4893,7.1942,2.7459,4.2287,67.3293,172.3324,200.011,106.5956,17.2991,3.4049,4.9975,609.5336
SHAHJAHANPUR,9.2811,9.6106,7.1393,2.6361,11.0934,52.831,159.4816,168.7627,90.7793,37.6188,1.9221,3.9541,555.1101
SHAJAPUR,5.6016,1.8123,2.032,0.9885,3.7893,52.5015,164.2045,173.7053,89.5162,16.036,6.3705,4.8328,521.3905
SHEIKHPURA,7.5238,4.5033,4.5033,5.327,18.3975,79.1916,160.1406,131.9677,104.1243,31.9073,3.4598,2.7459,553.7921
